Popravljeno ; 18.02.2018 ; 11:52:47.379 ; 105556 ; Produkt 1 ; 50,5 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:53:50.846 ; 105559 ; 123456789123456789123456789123456789123456789123456789123456 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:54:07.670 ; 105559 ; 123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:54:21.600 ; 105559 ; 123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:54:42.319 ; 105559 ; 123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:55:02.799 ; 105668 ; Produkt 2 ; 100 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 15:58:55.770 ; 105668 ; Produkt 2Produkt 2Produkt 2Produkt 2Produkt ; 100 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 15:59:07.515 ; 105559 ; 123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 15:59:56.307 ; 105559 ; 1234567891234567891234567891234567891234567 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 16:00:45.971 ; 105559 ; 12345678912345678912345678912345678912345678912345678 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 16:02:38.444 ; 105559 ; 123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 16:12:18.299 ; 105559 ; 123456789123456789123456789123456789123456789123456789sdafsdfasdfasdfsdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfsadfasdfsadfasdfasfasdfasdfasdf ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 16:12:53.219 ; 105559 ; 123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 16:13:14.114 ; 105559 ; 123456789123456789123456789123456789123456 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 17:31:08.286 ; 105559 ; 1234567891234567891234567891234567891234567 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 17:34:38.248 ; 105559 ; 1234567891234567891234567891234567891234567sdafasdfasdfsadfasdfasdfasdfasdfasdfasdfasdfasfasdfsadfasfasdfasdf ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 17:37:31.834 ; 105559 ; 1234567891234567891234567891234567891234567sdafasdfasdfsadfasdfasdfasdfasdfasdfasdfasdfsadfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfasdfsaasfasdfsadfasfasdfasdf ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 17:37:48.546 ; 105559 ; 123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 17:38:47.195 ; 105559 ; 123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 20.02.2018 ; 17:39:12.019 ; 105559 ; 123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Dodano ; 21.02.2018 ; 19:21:52.340 ; Testni produkt ; Testni produkt ; 54.5 ; Rajh !?!
Dodano ; 25.02.2018 ; 15:19:04.376 ; 5555555 ; Produkt 1 ; 55.4 ; Rajh !?!
Dodano ; 26.02.2018 ; 15:48:55.837 ; 656566 ; Produkt 2 ; 100 ; Rajh !?!
