Poskus prijave: 16.02.2018 ; 19:03:30.788 ;Tomaz

Poskus prijave: 16.02.2018 ; 19:03:58.542 ;Krenker

Poskus prijave: 16.02.2018 ; 19:04:01.875 ;Sinisa

Poskus prijave: 16.02.2018 ; 19:04:03.814 ;Nejc

Poskus prijave: 16.02.2018 - 19:07:16.558 ; Nejc
Prijava v sistem: 18.02.2018 - 18:20:29.038 ; Nejc
Prijava v sistem: 18.02.2018 - 18:21:49.514 ; Nejc
Prijava v sistem: 18.02.2018 - 18:24:30.645 ; Nejc
Prijava v sistem: 18.02.2018 - 18:29:25.722 ; Nejc
Prijava v sistem: 18.02.2018 - 18:30:03.248 ; Nejc
Prijava v sistem: 18.02.2018 - 18:31:23.117 ; Nejc
Prijava v sistem: 18.02.2018 - 18:33:00.480 ; Nejc
Prijava v sistem: 18.02.2018 - 18:33:31.323 ; Nejc
Prijava v sistem: 18.02.2018 - 18:34:53.135 ; Nejc
Prijava v sistem: 18.02.2018 - 18:35:47.640 ; Nejc
Prijava v sistem: 18.02.2018 - 18:36:19.970 ; Nejc
Prijava v sistem: 18.02.2018 - 18:40:47.418 ; Nejc
Prijava v sistem: 18.02.2018 - 18:42:15.932 ; Nejc
Prijava v sistem: 18.02.2018 - 18:43:30.212 ; Nejc
Prijava v sistem: 18.02.2018 - 18:51:11.249 ; Nejc
Prijava v sistem: 18.02.2018 - 18:53:11.166 ; Nejc
Prijava v sistem: 18.02.2018 - 18:54:57.287 ; Nejc
Prijava v sistem: 18.02.2018 - 18:56:27.036 ; Nejc
Prijava v sistem: 18.02.2018 - 18:57:09.002 ; Nejc
Prijava v sistem: 18.02.2018 - 18:58:07.125 ; Nejc
Prijava v sistem: 18.02.2018 - 18:58:33.190 ; Nejc
Prijava v sistem: 18.02.2018 - 18:58:51.271 ; Nejc
Prijava v sistem: 18.02.2018 - 18:59:38.827 ; Nejc
Prijava v sistem: 18.02.2018 - 19:00:04.331 ; Nejc
Prijava v sistem: 18.02.2018 - 19:02:50.226 ; Nejc
Prijava v sistem: 18.02.2018 - 19:03:56.634 ; Nejc
Prijava v sistem: 18.02.2018 - 19:05:34.806 ; Nejc
Prijava v sistem: 18.02.2018 - 19:05:57.960 ; Nejc
Prijava v sistem: 18.02.2018 - 19:06:46.048 ; Nejc
Prijava v sistem: 18.02.2018 - 19:08:34.489 ; Nejc
Prijava v sistem: 18.02.2018 - 19:09:17.964 ; Nejc
Prijava v sistem: 18.02.2018 - 19:10:30.630 ; Nejc
Prijava v sistem: 18.02.2018 - 19:11:04.177 ; Nejc
Prijava v sistem: 18.02.2018 - 19:12:11.972 ; Nejc
Prijava v sistem: 18.02.2018 - 19:14:00.369 ; Nejc
Prijava v sistem: 18.02.2018 - 19:14:37.972 ; Nejc
Prijava v sistem: 18.02.2018 - 19:15:02.721 ; Nejc
Prijava v sistem: 18.02.2018 - 19:15:25.870 ; Nejc
Prijava v sistem: 18.02.2018 - 19:16:05.142 ; Nejc
Prijava v sistem: 18.02.2018 - 19:16:26.252 ; Nejc
Prijava v sistem: 18.02.2018 - 19:17:10.669 ; Nejc
Prijava v sistem: 18.02.2018 - 19:18:06.352 ; Nejc
Prijava v sistem: 18.02.2018 - 19:18:28.457 ; Nejc
Prijava v sistem: 18.02.2018 - 19:18:44.135 ; Nejc
Prijava v sistem: 18.02.2018 - 19:19:01.147 ; Nejc
Prijava v sistem: 18.02.2018 - 19:19:53.110 ; Nejc
Prijava v sistem: 18.02.2018 - 19:20:30.270 ; Nejc
Prijava v sistem: 18.02.2018 - 19:21:28.244 ; Nejc
Prijava v sistem: 18.02.2018 - 19:22:51.998 ; Nejc
Prijava v sistem: 18.02.2018 - 19:23:53.531 ; Nejc
Prijava v sistem: 18.02.2018 - 19:26:27.367 ; Nejc
Prijava v sistem: 18.02.2018 - 19:26:59.849 ; Nejc
Prijava v sistem: 18.02.2018 - 19:27:30.617 ; Nejc
Prijava v sistem: 18.02.2018 - 19:29:22.780 ; Nejc
Prijava v sistem: 18.02.2018 - 19:30:01.214 ; Nejc
Prijava v sistem: 18.02.2018 - 19:36:06.905 ; Nejc
Prijava v sistem: 18.02.2018 - 19:36:33.577 ; Nejc
Prijava v sistem: 18.02.2018 - 19:37:31.220 ; Nejc
Prijava v sistem: 18.02.2018 - 19:38:15.558 ; Nejc
Prijava v sistem: 18.02.2018 - 19:39:13.373 ; Nejc
Prijava v sistem: 18.02.2018 - 19:40:07.395 ; Nejc
Prijava v sistem: 18.02.2018 - 19:42:56.669 ; Nejc
Prijava v sistem: 18.02.2018 - 19:43:20.045 ; Nejc
Prijava v sistem: 18.02.2018 - 19:43:39.153 ; Nejc
Prijava v sistem: 18.02.2018 - 19:44:09.931 ; Nejc
Prijava v sistem: 18.02.2018 - 19:44:55.912 ; Nejc
Prijava v sistem: 18.02.2018 - 19:45:17.880 ; Nejc
Prijava v sistem: 18.02.2018 - 19:48:44.797 ; Nejc
Prijava v sistem: 18.02.2018 - 19:49:13.505 ; Nejc
Prijava v sistem: 18.02.2018 - 19:49:32.246 ; Nejc
Prijava v sistem: 18.02.2018 - 19:50:01.511 ; Nejc
Prijava v sistem: 18.02.2018 - 19:50:46.573 ; Nejc
Prijava v sistem: 18.02.2018 - 19:51:31.918 ; Nejc
Prijava v sistem: 18.02.2018 - 19:51:49.280 ; Nejc
Prijava v sistem: 18.02.2018 - 19:52:53.482 ; Nejc
Prijava v sistem: 18.02.2018 - 19:54:01.634 ; Nejc
Prijava v sistem: 18.02.2018 - 19:54:39.712 ; Nejc
Prijava v sistem: 18.02.2018 - 19:57:17.215 ; Nejc
Prijava v sistem: 18.02.2018 - 20:03:46.343 ; Nejc
Prijava v sistem: 18.02.2018 - 20:04:22.724 ; Nejc
Prijava v sistem: 18.02.2018 - 20:05:06.406 ; Nejc
Prijava v sistem: 18.02.2018 - 20:06:53.354 ; Nejc
Prijava v sistem: 18.02.2018 - 20:08:32.372 ; Nejc
Prijava v sistem: 18.02.2018 - 20:09:37.981 ; Nejc
Prijava v sistem: 18.02.2018 - 20:25:42.396 ; Nejc
Prijava v sistem: 18.02.2018 - 20:26:42.116 ; Nejc
Prijava v sistem: 18.02.2018 - 20:27:28.572 ; Nejc
Prijava v sistem: 18.02.2018 - 20:28:36.781 ; Nejc
Prijava v sistem: 18.02.2018 - 20:29:15.542 ; Nejc
Prijava v sistem: 18.02.2018 - 20:30:08.549 ; Nejc
Prijava v sistem: 18.02.2018 - 20:31:42.120 ; Nejc
Prijava v sistem: 18.02.2018 - 20:32:19.364 ; Nejc
Prijava v sistem: 18.02.2018 - 20:33:39.107 ; Nejc
Prijava v sistem: 18.02.2018 - 20:34:25.522 ; Nejc
Prijava v sistem: 18.02.2018 - 20:35:55.214 ; Nejc
Prijava v sistem: 18.02.2018 - 20:47:15.631 ; Nejc
Prijava v sistem: 18.02.2018 - 20:48:13.666 ; Nejc
Prijava v sistem: 18.02.2018 - 20:48:46.492 ; Nejc
Prijava v sistem: 18.02.2018 - 20:49:32.139 ; Nejc
Prijava v sistem: 18.02.2018 - 20:51:01.153 ; Nejc
Prijava v sistem: 18.02.2018 - 20:52:21.763 ; Nejc
Prijava v sistem: 18.02.2018 - 20:52:43.103 ; Nejc
Prijava v sistem: 18.02.2018 - 20:55:46.219 ; Nejc
Prijava v sistem: 18.02.2018 - 20:58:55.107 ; Nejc
Prijava v sistem: 18.02.2018 - 21:04:05.647 ; Nejc
Prijava v sistem: 18.02.2018 - 21:05:30.251 ; Nejc
Prijava v sistem: 18.02.2018 - 21:07:13.285 ; Nejc
Prijava v sistem: 18.02.2018 - 21:09:49.376 ; Nejc
Prijava v sistem: 18.02.2018 - 21:11:59.905 ; Nejc
Prijava v sistem: 18.02.2018 - 21:12:42.684 ; Nejc
Prijava v sistem: 18.02.2018 - 21:13:52.968 ; Nejc
Prijava v sistem: 18.02.2018 - 21:15:22.469 ; Nejc
Prijava v sistem: 18.02.2018 - 21:16:43.357 ; Nejc
Prijava v sistem: 18.02.2018 - 21:17:47.299 ; Nejc
Prijava v sistem: 18.02.2018 - 21:18:46.927 ; Nejc
Prijava v sistem: 18.02.2018 - 21:19:41.537 ; Nejc
Prijava v sistem: 18.02.2018 - 21:20:15.262 ; Nejc
Nepravilna prijava: 18.02.2018 - 21:20:46.108 ; 
Prijava v sistem: 18.02.2018 - 21:20:50.435 ; Nejc
Prijava v sistem: 18.02.2018 - 21:21:27.068 ; Nejc
Prijava v sistem: 18.02.2018 - 21:21:46.240 ; Nejc
Prijava v sistem: 18.02.2018 - 21:22:09.770 ; Nejc
Prijava v sistem: 18.02.2018 - 21:23:53.986 ; Nejc
Prijava v sistem: 18.02.2018 - 21:25:09.902 ; Nejc
Prijava v sistem: 18.02.2018 - 21:26:22.179 ; Nejc
Prijava v sistem: 18.02.2018 - 21:31:09.386 ; Nejc
Prijava v sistem: 18.02.2018 - 21:34:21.876 ; Nejc
Prijava v sistem: 18.02.2018 - 21:35:17.891 ; Nejc
Prijava v sistem: 18.02.2018 - 21:36:22.384 ; Nejc
Prijava v sistem: 18.02.2018 - 21:37:24.417 ; Nejc
Prijava v sistem: 18.02.2018 - 21:41:36.458 ; Nejc
Prijava v sistem: 18.02.2018 - 21:44:17.491 ; Nejc
Prijava v sistem: 19.02.2018 - 14:46:39.904 ; Nejc
Prijava v sistem: 19.02.2018 - 14:56:20.140 ; Nejc
Prijava v sistem: 19.02.2018 - 14:57:14.732 ; Nejc
Prijava v sistem: 19.02.2018 - 14:58:23.400 ; Nejc
Prijava v sistem: 19.02.2018 - 14:58:41.177 ; Nejc
Prijava v sistem: 19.02.2018 - 14:58:57.492 ; Nejc
Prijava v sistem: 19.02.2018 - 14:59:17.470 ; Nejc
Prijava v sistem: 19.02.2018 - 14:59:59.898 ; Nejc
Prijava v sistem: 19.02.2018 - 15:05:36.981 ; Nejc
Prijava v sistem: 19.02.2018 - 15:06:00.544 ; Nejc
Prijava v sistem: 19.02.2018 - 15:12:09.736 ; Nejc
Prijava v sistem: 19.02.2018 - 15:14:45.267 ; Nejc
Prijava v sistem: 19.02.2018 - 15:15:59.769 ; Nejc
Prijava v sistem: 19.02.2018 - 15:26:10.456 ; Nejc
Prijava v sistem: 19.02.2018 - 15:33:24.160 ; Nejc
Prijava v sistem: 19.02.2018 - 15:34:03.589 ; Nejc
Prijava v sistem: 19.02.2018 - 15:38:27.892 ; Nejc
Prijava v sistem: 19.02.2018 - 15:38:58.065 ; Nejc
Prijava v sistem: 19.02.2018 - 15:39:40.594 ; Nejc
Prijava v sistem: 19.02.2018 - 15:40:13.612 ; Nejc
Prijava v sistem: 19.02.2018 - 15:42:01.669 ; Nejc
Prijava v sistem: 19.02.2018 - 15:42:55.416 ; Nejc
Prijava v sistem: 19.02.2018 - 15:43:26.587 ; Nejc
Prijava v sistem: 19.02.2018 - 15:45:09.440 ; Nejc
Prijava v sistem: 19.02.2018 - 15:45:56.676 ; Nejc
Prijava v sistem: 19.02.2018 - 15:46:34.447 ; Nejc
Prijava v sistem: 19.02.2018 - 18:29:25.148 ; Nejc
Prijava v sistem: 19.02.2018 - 18:31:54.375 ; Nejc
Prijava v sistem: 19.02.2018 - 18:37:31.766 ; Nejc
Prijava v sistem: 19.02.2018 - 18:42:15.022 ; Nejc
Prijava v sistem: 19.02.2018 - 18:44:39.363 ; Nejc
Prijava v sistem: 19.02.2018 - 18:46:02.428 ; Nejc
Prijava v sistem: 19.02.2018 - 18:47:40.770 ; Nejc
Prijava v sistem: 19.02.2018 - 18:48:42.710 ; Nejc
Prijava v sistem: 19.02.2018 - 18:52:39.059 ; Nejc
Prijava v sistem: 19.02.2018 - 18:53:16.338 ; Nejc
Prijava v sistem: 19.02.2018 - 19:09:07.030 ; Nejc
Prijava v sistem: 19.02.2018 - 19:10:41.312 ; Nejc
Prijava v sistem: 19.02.2018 - 19:11:24.989 ; Nejc
Prijava v sistem: 19.02.2018 - 19:12:04.316 ; Nejc
Prijava v sistem: 19.02.2018 - 19:16:03.246 ; Nejc
Prijava v sistem: 19.02.2018 - 19:23:07.978 ; Nejc
Prijava v sistem: 19.02.2018 - 19:23:29.964 ; Nejc
Prijava v sistem: 19.02.2018 - 19:25:44.365 ; Nejc
Prijava v sistem: 19.02.2018 - 19:26:27.530 ; Nejc
Prijava v sistem: 19.02.2018 - 19:30:24.531 ; Nejc
Prijava v sistem: 19.02.2018 - 19:31:56.247 ; Nejc
Prijava v sistem: 19.02.2018 - 19:34:26.340 ; Nejc
Prijava v sistem: 19.02.2018 - 19:35:02.399 ; Nejc
Prijava v sistem: 19.02.2018 - 19:36:42.208 ; Nejc
Prijava v sistem: 19.02.2018 - 19:37:27.548 ; Nejc
Prijava v sistem: 19.02.2018 - 19:39:00.826 ; Nejc
Prijava v sistem: 19.02.2018 - 19:39:41.145 ; Nejc
Prijava v sistem: 19.02.2018 - 19:39:58.920 ; Nejc
Prijava v sistem: 19.02.2018 - 19:40:51.968 ; Nejc
Prijava v sistem: 19.02.2018 - 19:41:38.590 ; Nejc
Prijava v sistem: 19.02.2018 - 19:42:18.586 ; Nejc
Prijava v sistem: 19.02.2018 - 19:42:47.034 ; Nejc
Prijava v sistem: 19.02.2018 - 19:43:14.577 ; Nejc
Prijava v sistem: 19.02.2018 - 19:43:44.408 ; Nejc
Prijava v sistem: 19.02.2018 - 19:44:17.677 ; Nejc
Prijava v sistem: 19.02.2018 - 19:47:08.112 ; Nejc
Prijava v sistem: 19.02.2018 - 19:48:15.727 ; Nejc
Prijava v sistem: 19.02.2018 - 19:48:51.833 ; Nejc
Prijava v sistem: 19.02.2018 - 19:50:11.043 ; Nejc
Prijava v sistem: 19.02.2018 - 19:51:41.566 ; Nejc
Prijava v sistem: 19.02.2018 - 19:52:07.496 ; Nejc
Prijava v sistem: 19.02.2018 - 19:52:51.043 ; Nejc
Prijava v sistem: 19.02.2018 - 19:53:16.699 ; Nejc
Prijava v sistem: 19.02.2018 - 20:02:10.544 ; Nejc
Prijava v sistem: 19.02.2018 - 20:07:20.711 ; Nejc
Prijava v sistem: 20.02.2018 - 15:58:29.172 ; Nejc
Prijava v sistem: 20.02.2018 - 15:59:45.579 ; Nejc
Prijava v sistem: 20.02.2018 - 16:00:32.462 ; Nejc
Prijava v sistem: 20.02.2018 - 16:01:16.395 ; Nejc
Prijava v sistem: 20.02.2018 - 16:02:27.914 ; Nejc
Prijava v sistem: 20.02.2018 - 16:12:06.908 ; Nejc
Prijava v sistem: 20.02.2018 - 16:12:43.972 ; Nejc
Prijava v sistem: 20.02.2018 - 16:13:07.382 ; Nejc
Prijava v sistem: 20.02.2018 - 16:17:59.904 ; Nejc
Prijava v sistem: 20.02.2018 - 16:24:04.459 ; Nejc
Prijava v sistem: 20.02.2018 - 16:25:00.882 ; Nejc
Prijava v sistem: 20.02.2018 - 16:25:56.650 ; Nejc
Prijava v sistem: 20.02.2018 - 16:26:44.226 ; Nejc
Prijava v sistem: 20.02.2018 - 16:27:26.405 ; Nejc
Prijava v sistem: 20.02.2018 - 16:30:37.725 ; Nejc
Prijava v sistem: 20.02.2018 - 16:32:40.853 ; Nejc
Nepravilna prijava: 20.02.2018 - 16:33:45.989 ; 
Prijava v sistem: 20.02.2018 - 16:34:31.134 ; Nejc
Prijava v sistem: 20.02.2018 - 16:35:31.779 ; Nejc
Prijava v sistem: 20.02.2018 - 16:37:14.998 ; Nejc
Prijava v sistem: 20.02.2018 - 16:37:53.450 ; Nejc
Prijava v sistem: 20.02.2018 - 16:38:43.101 ; Nejc
